="",代码,名称,连板数,涨停原因,开盘涨幅,当日涨幅,近10日最高涨幅,近10日涨幅,首次封板,最后封板,当日价格,攻击波,回头波,次日开盘涨幅,次日涨幅,涨停类型,涨停因子,开板数,封单量,当日换手,最新五星买卖点,最新红黄白买卖点,最新神秘C点买卖点,最新智能亮点,几天几板,所属题材,流通市值,总市值
="",="000628",高新发展,首板,公司筹划收购森未科技和芯未半导体控制权,10.04%,10.04%,28.94%,28.94%,09:25:00,09:25:00,14.14,0.00%,0.00%,9.97%,9.97%,一字板,一字板 | 缩量,="0",7.40万手,1.31%,买入: 19天,---,---,阶段新高 强势股, 1天1板(1个一字板),智慧城市 | 创投 | 参股新三板 | PPP概念 | 期货概念,27.16亿,49.81亿
="",="603683",晶华新材,首板,公司拟10亿元投建石墨烯新型热管理材料生产线等项目,10.03%,10.03%,19.87%,19.87%,09:25:04,09:25:04,8.34,0.00%,0.00%,6.71%,9.95%,一字板,一字板 | 小盘股,="0",4.05万手,1.29%,买入: 13天,---,---,量能巨变 强势股 估值较低, 1天1板(1个一字板),新材料概念 | 宁德时代概念,17.91亿,18.37亿
="",="002121",科陆电子,首板,公司拟向美的集团定增募资不超13.86亿元，公司实控人将变更为美的集团何享健,0.44%,10.04%,90.57%,78.66%,09:31:15,09:31:15,7.45,9.56%,0.00%,0.00%,-3.36%,换手板,反包涨停 | 隔日反包 | 缩量,="0",13.57万手,7.59%,买入: 8天,---,---,---, 7天6板(3个一字板),互联网金融 | 充电桩 | 新能源汽车 | 锂电池 | 无线充电 | 智能电网 | 深圳国企改革 | 边缘计算 | 华为概念 | 电力物联网 | 金融科技 | 标普道琼斯A股 | 储能,88.42亿,104.92亿
="",="002519",银河电子,首板,5月重点新能源车企交付大幅回暖；财政部、税务总局发布关于减征部分乘用车车辆购置税的通知。公司主要是为新能源汽车提供充电设备、车载电动空调系统和其他车载关键设备，主要产品包括电源模块、充电桩、车载充电机、移动充电机、DC/DC模块、电动空调压缩机等，客户包括比亚迪、宁德时代等,1.16%,9.95%,34.45%,34.45%,09:32:06,14:30:12,4.75,8.94%,0.00%,10.11%,10.11%,换手板,烂板 | 黄线涨停 | 放量,="10",4.48万手,16.72%,买入: 12天,买入: 1天,---,阶段新高 强势股 游资上榜, 1天1板,军工 | 充电桩 | 机器人概念 | 军民融合 | 新能源汽车 | 智能电网 | 特斯拉 | 新能源车零部件 | 超高清视频,48.19亿,53.51亿
="",="002235",安妮股份,首板,消息称首款视频电子即开游戏彩票上市。福彩印刷龙头，此前拥有彩票代销业务；子公司厦门安妮彩票印刷业务位居福彩第2，市占率超15%，公司全年彩票用纸产保持供应10个省级彩票中心，标签产品持续为包括世界500强企业在内的客户提供服务,0.65%,9.91%,11.11%,5.23%,09:32:15,09:32:15,5.10,9.21%,0.00%,-2.94%,-5.29%,换手板,---,="0",10.25万手,4.59%,买入: 11天,---,---,估值高, 1天1板,海峡两岸 | 体育产业 | 大数据 | 融资融券 | 区块链 | 独角兽概念 | 知识产权保护 | 腾讯概念 | 回购概念 | NFT,27.96亿,29.56亿
="",="001212",中旗新材,首板,公司拟在广西省河池市罗城县仫佬族自治县投资建设“罗城硅晶新材料研发开发制造一体化项目”，项目投资总额约为10亿,2.99%,10.00%,54.64%,45.58%,09:32:18,09:36:09,40.05,6.80%,0.00%,-0.05%,-1.27%,换手板,炸板涨停 | 反包涨停 | 小盘股,="1",8791手,20.76%,卖出: 2天,买入: 9天,买入: 1天,机构上榜 机构净买入 多家机构买入 估值高, 9天5板(1个一字板),次新股 | 新材料概念 | 粤港澳大湾区 | 装配式建筑 | 核准制次新股 | 有机硅,9.08亿,36.31亿
="",="002868",绿康生化,首板,动物饲料添加剂领域杆菌肽细分龙头，全球少数亚甲基水杨酸杆菌肽通过美国FDA现场审核的企业之一,0.00%,9.97%,13.84%,9.23%,09:32:24,09:48:57,12.79,9.97%,0.00%,-4.30%,1.80%,换手板,炸板涨停 | 放量 | 小盘股,="1",2.72万手,2.98%,买入: 12天,卖出: 30天,买入: 1天,KDJ金叉, 1天1板,---,19.88亿,19.88亿
="",="600386",北巴传媒,首板,财政部、税务总局发布关于减征部分乘用车车辆购置税的通知。公司控股子公司隆瑞三优公司作为公司新能源充电服务平台，主要负责新能源车辆充电服务设施的建设和运营工作,0.76%,10.13%,26.15%,19.25%,09:33:33,09:36:03,4.35,9.30%,0.00%,-0.23%,-4.60%,换手板,炸板涨停,="1",9.01万手,3.26%,买入: 9天,买入: 5天,---,量能巨变 估值较低, 1天1板,充电桩 | 新能源汽车 | 智能交通 | 智能停车 | 融资融券 | 独角兽概念 | 汽车销售 | 汽车拆解,35.08亿,35.08亿
="",="000521",长虹美菱,首板,公司发布行业首款冰箱茶吧机,0.27%,10.11%,30.37%,30.37%,09:33:42,09:33:42,4.14,10.40%,0.00%,5.07%,9.90%,换手板,---,="0",16.02万手,2.66%,买入: 12天,---,---,KDJ金叉 阶段新高, 1天1板,电商 | 参股新三板 | 智能家居 | 工业互联网 | 独角兽概念 | 医疗器械概念 | 冷链物流 | 垃圾分类,36.21亿,42.64亿
="",="600793",宜宾纸业,首板,西南最大的食品包装原纸生产企业；公司主要从事于制浆造纸,1.74%,10.02%,14.50%,5.19%,09:34:24,09:34:24,13.28,9.30%,0.00%,2.71%,-3.84%,换手板,---,="0",1.82万手,4.54%,买入: 2天,---,---,WR金叉 估值高, 1天1板,食品安全,23.49亿,23.49亿
