="",代码,名称,连板数,涨停原因,开盘涨幅,当日涨幅,近10日最高涨幅,近10日涨幅,首次封板,最后封板,当日价格,攻击波,回头波,次日开盘涨幅,次日涨幅,涨停类型,涨停因子,开板数,封单量,当日换手,最新五星买卖点,最新红黄白买卖点,最新神秘C点买卖点,最新智能亮点,几天几板,所属题材,流通市值,总市值
="",="000010",美丽生态,="2",《关于推进以县城为重要载体的城镇化建设的意见》印发。公司主要从事园林绿化工程施工、园林景观设计、园林养护及绿化苗木种植等，拥有包括三项一级资质在内的十五项建筑施工资质及完备的三体系专业认证,3.07%,9.97%,26.10%,26.10%,09:37:09,10:28:09,4.30,9.41%,0.00%,---,---,换手板,烂板 | 放量,="9",4.68万手,21.66%,卖出: 13天,卖出: 12天,买入: 1天,量能巨变 阶段新高 均线多头排列, 2天2板,PPP概念 | 新型城镇化,22.45亿,35.25亿
="",="002806",华锋股份,="2",《深圳经济特区智能网联汽车管理条例》列入2022年立法计划。5月重点新能源车企交付大幅回暖；财政部、税务总局发布关于减征部分乘用车车辆购置税的通知。1、新能源商用车电控及驱动系统的主流供应商；
2、公司与阿波罗公司签订全面战略合作框架协议，双方成立自动驾驶电动专用底盘联合研发小组，构建创新协作平台,9.62%,10.04%,17.80%,17.80%,09:30:00,09:30:00,13.04,8.22%,0.00%,---,---,换手板,小盘股,="0",2.53万手,3.39%,买入: 15天,---,---,估值较低 CCI买入信号 连续三日锤头线 强势股, 2天2板,无人驾驶 | 新能源汽车 | 燃料电池 | 回购概念 | 高商誉 | 新能源车零部件,18.34亿,25.00亿
="",="002590",万安科技,首板,《深圳经济特区智能网联汽车管理条例》列入2022年立法计划。公司ADAS系统领域在感知层、决策层及执行层三大端口均已完善布局，布局资源皆是国际细分行业前三地位,10.05%,10.05%,12.31%,12.31%,09:25:00,09:25:00,8.21,0.00%,0.00%,---,---,一字板,一字板,="0",6.67万手,0.84%,买入: 13天,---,---,KDJ金叉 CCI买入信号 强势股, 1天1板(1个一字板),车联网 | 军工 | 无人驾驶 | 新能源汽车 | 汽车电子 | 无线充电 | 独角兽概念 | 新能源车零部件,37.40亿,39.38亿
="",="300552",万集科技,首板,《深圳经济特区智能网联汽车管理条例》列入2022年立法计划。公司自动驾驶相关的激光雷达产品和V2X产品上，有专门的车辆已经开始进行路测；激光雷达产品小批量量产,7.05%,20.01%,26.76%,26.76%,09:44:12,09:44:12,22.31,13.83%,0.00%,---,---,换手板,放量,="0",1.08万手,5.66%,买入: 15天,---,---,CCI买入信号 强势股, 1天1板,车联网 | 传感器 | 智慧城市 | 无人驾驶 | 智能交通 | 汽车电子 | 券商重仓 | 边缘计算 | 华为概念 | ETC,24.69亿,47.55亿
="",="002869",金溢科技,首板,《深圳经济特区智能网联汽车管理条例》列入2022年立法计划。国内领先的智慧交通产品及解决方案提供商，国内较早从事车路协同技术和产品研发的企业之一；公司在高速ETC、城市ETC和V2X等智能交通领域处于行业领先地位,0.90%,10.02%,14.77%,14.77%,09:43:45,09:43:45,14.61,9.03%,0.00%,---,---,换手板,---,="0",2.30万手,2.00%,买入: 18天,---,---,CCI买入信号 强势股, 1天1板,车联网 | 物联网 | 智能交通 | 人工智能 | 智能停车 | 国产软件 | 区块链 | 粤港澳大湾区 | 百度概念 | ETC | 第三代半导体 | 专精特新,22.88亿,26.32亿
="",="002703",浙江世宝,首板,《深圳经济特区智能网联汽车管理条例》列入2022年立法计划。全球领先的转向系统提供商；与北汽、长安马自达在电动转向总成及关键部件有量产配套项目,3.10%,10.08%,11.15%,11.15%,09:35:12,09:35:12,5.68,9.65%,0.00%,---,---,换手板,---,="0",5.68万手,2.92%,买入: 52天,---,---,KDJ金叉 CCI买入信号 强势股, 1天1板,深股通 | 无人驾驶 | 新能源汽车 | 新能源车零部件 | 标普道琼斯A股,31.41亿,44.85亿
="",="002630",华西能源,="3",《深圳经济特区智能网联汽车管理条例》列入2022年立法计划。消息称美国未来两年内不会对太阳能产品征收新关税。1、公司新签20亿订单为老挝南潘2×330MW超临界清洁能源电站项目；
2、公司通过增资持有四川金瑞麒12%的股权，四川金瑞麒有望成为国内首家量产的低速载人智能驾驶车辆的企业,1.15%,9.92%,39.81%,39.81%,09:43:27,09:43:27,2.88,9.92%,0.00%,---,---,换手板,---,="0",23.39万手,12.60%,卖出: 4天,---,---,强势股, 8天5板(1个一字板),固废处理 | 光伏概念 | 环保 | 无人驾驶 | 新材料概念 | PPP概念 | 节能环保 | 参股银行 | 碳中和 | 储能 | 绿色电力,27.98亿,34.01亿
T,="000953",河化股份,首板,1、公司主要产品为医药中间体，包括羟基氯喹侧链和氯喹侧链等产品，其中氯喹侧链是生产磷酸氯喹的主要原料；
2、网传二氧六环是核苷酸类新冠口服药等溶解剂,-0.17%,10.00%,0.43%,-9.50%,09:58:09,09:58:09,6.38,10.19%,0.00%,---,---,换手板,老龙头反抽,="0",7.63万手,2.82%,买入: 0天,---,---,估值高 KDJ金叉 RSI金叉 看涨吞没 五星买点, 1天1板,壳资源 | 资产重组,20.41亿,23.36亿
="",="002986",宇新股份,首板,1、华南地区最大的LPG（液化石油气）深加工企业；
2、正在向化工新材料领域转型发展，计划启动建设的6万吨/年PBAT（热塑性生物降解塑料）项目,1.85%,10.00%,14.28%,14.28%,09:32:39,10:10:54,23.77,8.00%,0.00%,---,---,换手板,炸板涨停 | 放量,="3",1.29万手,2.91%,买入: 2天,---,---,估值较低 量能巨变 BIAS金叉 强势股, 1天1板,年报预增 | 可降解塑料,35.48亿,52.80亿
="",="601886",江河集团,首板,1、全球高端幕墙龙头之一，公司建筑装饰业务板块包括建筑幕墙、室内装饰和室内设计；
2、全资子公司上海江河幕墙系统工程有限公司中标幕墙工程项目，中标金额2.56亿,-0.34%,10.07%,11.21%,11.21%,13:01:08,13:01:08,6.45,11.21%,0.00%,---,---,换手板,放量,="0",1.17万手,1.94%,买入: 17天,---,---,KDJ金叉 CCI买入信号 BIAS金叉 MA(20日线支撑), 1天1板,冬奥会 | 民营医院 | 建筑节能 | 健康中国 | 融资融券 | 蚂蚁金服概念 | 恒大概念 | 眼科 | 装配式建筑 | 医美,74.44亿,74.44亿
