="",代码,名称,连板数,涨停原因,开盘涨幅,当日涨幅,近10日最高涨幅,近10日涨幅,首次封板,最后封板,当日价格,攻击波,回头波,次日开盘涨幅,次日涨幅,涨停类型,涨停因子,开板数,封单量,当日换手,最新五星买卖点,最新红黄白买卖点,最新神秘C点买卖点,最新智能亮点,几天几板,所属题材,流通市值,总市值
="",="002323",雅博股份,首板,公司主要从事光伏EPC工程业务；6月2日摘帽,9.94%,9.94%,13.82%,13.82%,09:25:00,09:30:36,3.87,2.65%,0.00%,---,---,T字板,秒板 | 炸板涨停,="1",13.55万手,2.40%,---,---,---,KDJ金叉 RSI金叉 CCI买入信号 BIAS金叉 MTM金叉, 1天1板,光伏概念 | 一带一路 | 摘帽 | 数字乡村 | 储能,82.06亿,82.08亿
="",="600058",五矿发展,首板,国企改革三年行动打响收官战；国资重组转让将迎新规。控股股东中国五矿正在积极研究有关承诺变更事项方案,5.06%,10.02%,45.19%,45.19%,09:30:13,09:30:55,11.31,4.72%,0.00%,---,---,换手板,秒板 | 炸板涨停 | 反包涨停 | 隔日反包 | 黄线涨停 | 缩量,="1",10.34万手,2.48%,买入: 10天,买入: 0天,---,强势股 估值较低 五星买点, 4天3板,电商 | 融资融券 | 小金属概念,121.23亿,121.23亿
="",="000619",海螺新材,首板,国企改革三年行动打响收官战；国资重组转让将迎新规。实控人安徽省国资委；公司塑料型材、铝材、门窗、生态地板及节能家居产品，可用于乡村振兴、新型城镇化建设,-0.32%,9.98%,7.26%,7.26%,09:31:27,09:53:42,6.94,11.04%,0.00%,---,---,换手板,炸板涨停 | 放量,="1",5.10万手,6.36%,买入: 15天,---,---,KDJ金叉 RSI金叉 CCI买入信号 MTM金叉 MA(20日线支撑) 多方炮, 1天1板,光伏概念 | 建筑节能 | 工业互联网 | 新型城镇化,24.98亿,24.98亿
="",="002691",冀凯股份,首板,公司主营支护机具、安全钻机、掘进设备和运输机械等矿用机械装备,0.61%,9.98%,16.63%,16.63%,09:31:54,09:31:54,5.40,9.98%,0.00%,---,---,换手板,小盘股,="0",4.09万手,1.84%,买入: 11天,---,---,KDJ金叉 BIAS金叉 MTM金叉 估值较低, 1天1板,3D打印 | 冬奥会,18.32亿,18.36亿
="",="000010",美丽生态,首板,公司主要从事园林绿化工程施工、园林景观设计、园林养护及绿化苗木种植等，拥有包括三项一级资质在内的十五项建筑施工资质及完备的三体系专业认证,0.85%,10.14%,13.91%,13.33%,09:32:45,09:32:45,3.91,9.52%,0.00%,---,---,换手板,---,="0",7.12万手,5.38%,卖出: 12天,卖出: 11天,买入: 0天,KDJ金叉 RSI金叉 均线多头排列 CCI买入信号 BIAS金叉 MTM金叉 多方炮, 1天1板,PPP概念 | 新型城镇化,20.42亿,32.06亿
="",="603176",汇通集团,首板,公司主营岩土工程、环境修复等业务，拥有地基基础工程专业承包壹级等多项技术资质，业务已覆盖全国二十余个省、直辖市与自治区,4.38%,10.02%,9.89%,7.44%,09:33:45,10:06:43,10.54,7.22%,0.00%,---,---,换手板,炸板涨停 | 放量 | 小盘股,="3",2.02万手,30.92%,卖出: 12天,---,买入: 9天,KDJ金叉 RSI金叉 BIAS金叉 MACD买入信号 估值较高, 1天1板,次新股 | 京津冀一体化 | 水利建设 | PPP概念 | 雄安新区 | 乡村振兴 | 核准制次新股 | 新型城镇化,12.30亿,49.19亿
T,="600469",风神股份,首板,国企改革三年行动打响收官战；国资重组转让将迎新规。中国化工集团旗下，主营轮胎的研制、设计、开发、生产、经营及轮胎进出口业务，已注入集团轮胎资产,-1.71%,10.06%,30.24%,25.37%,09:33:58,09:33:58,5.14,12.23%,0.00%,---,---,换手板,反包涨停,="0",6.04万手,3.05%,买入: 12天,卖出: 1天,---,BIAS金叉 游资上榜, 4天2板,融资融券 | 资产重组,28.91亿,37.58亿
="",="000599",青岛双星,首板,国企改革三年行动打响收官战；国资重组转让将迎新规。公司是全球知名的轮胎制造企业之一，实控人为青岛国资委旗下的双星集团,-2.01%,10.03%,25.70%,22.63%,09:35:21,09:35:21,4.39,13.44%,0.00%,---,---,换手板,反包涨停,="0",7.46万手,3.08%,卖出: 1天,---,---,RSI金叉 MTM金叉, 5天3板(1个一字板),中韩自贸区 | 石墨烯 | 军工 | 工业4.0 | 山东国企改革 | 混改 | 军民融合 | 股权转让,35.86亿,35.86亿
="",="600686",金龙汽车,首板,5月重点新能源车企交付大幅回暖；财政部、税务总局发布关于减征部分乘用车车辆购置税的通知。国内主要的客车制造企业；公司拥有全自动P2+核酸检测车,0.59%,9.94%,34.05%,23.09%,09:36:21,10:05:13,7.41,9.29%,0.00%,---,---,换手板,烂板 | 反包涨停,="1",8.82万手,13.59%,卖出: 3天,---,买入: 0天,均线多头排列, 7天4板,无人驾驶 | 新能源汽车 | 融资融券 | 燃料电池 | 百度概念 | 口罩 | 地摊经济 | 方舱医院,49.99亿,53.13亿
T,="603051",鹿山新材,首板,国家发改委、能源局发文加快推进大型风电光伏基地建设。公司主营高分子热熔粘接材料，产品应用于复合建材、能源管道、高阻隔包装、光伏新能源、平板显示等多个领域，为全球多个国家和地区的客户提供粘接综合解决方案，是国内领先的高性能热熔粘接材料企业之一,2.92%,10.00%,1.91%,1.91%,09:36:28,09:36:28,44.89,9.73%,0.00%,---,---,换手板,小盘股,="0",1.05万手,17.77%,买入: 0天,---,---,MTM金叉 MA(20日线支撑) MACD买入信号 强势股 估值较高 五星买点, 1天1板,光伏概念 | 次新股 | 水利建设 | 新材料概念 | 节能环保 | 核准制次新股,10.33亿,41.30亿
