--价格中枢看涨做涨--20220508.0价格中枢-实体一半=0.0--上影线是下的几倍=1.05--阳线实体=6.62--实体是影线的几倍=3.68--,医药商业,英特集团**000411.SZ
--价格中枢看涨做涨--20220508.0价格中枢-实体一半=0.0--上影线是下的几倍=1.0--阳线实体=3.91--实体是影线的几倍=2.95--,石油贸易,泰山石油**000554.SZ
--价格中枢看涨做涨--20220508.0价格中枢-实体一半=0.02--上影线是下的几倍=1.5--阳线实体=4.44--实体是影线的几倍=2.97--,航空,炼石航空**000697.SZ
--价格中枢看涨做涨--20220508.0价格中枢-实体一半=0.02--上影线是下的几倍=0.57--阳线实体=2.45--实体是影线的几倍=3.9--,化学制药,金陵药业**000919.SZ
--价格中枢看涨做涨--20220508.0价格中枢-实体一半=0.0--上影线是下的几倍=1.0--阳线实体=4.55--实体是影线的几倍=3.61--,中成药,嘉应制药**002198.SZ
--价格中枢看涨做涨--20220508.0价格中枢-实体一半=0.01--上影线是下的几倍=0.6--阳线实体=2.41--实体是影线的几倍=3.55--,通信设备,雷科防务**002413.SZ
--价格中枢看涨做涨--20220508.0价格中枢-实体一半=0.0--上影线是下的几倍=0.99--阳线实体=6.69--实体是影线的几倍=16.36--,软件服务,达实智能**002421.SZ
--价格中枢看涨做涨--20220508.0价格中枢-实体一半=0.0--上影线是下的几倍=1.0--阳线实体=4.9--实体是影线的几倍=2.35--,通信设备,通鼎互联**002491.SZ
--价格中枢看涨做涨--20220508.0价格中枢-实体一半=0.03--上影线是下的几倍=0.6--阳线实体=4.52--实体是影线的几倍=4.43--,医疗保健,光正眼科**002524.SZ
--价格中枢看涨做涨--20220508.0价格中枢-实体一半=0.02--上影线是下的几倍=0.7--阳线实体=5.63--实体是影线的几倍=5.07--,家用电器,万和电气**002543.SZ
--价格中枢看涨做涨--20220508.0价格中枢-实体一半=0.01--上影线是下的几倍=0.73--阳线实体=2.9--实体是影线的几倍=2.1--,机床制造,亚威股份**002559.SZ
--价格中枢看涨做涨--20220508.0价格中枢-实体一半=0.01--上影线是下的几倍=1.25--阳线实体=4.92--实体是影线的几倍=3.56--,中成药,益盛药业**002566.SZ
--价格中枢看涨做涨--20220508.0价格中枢-实体一半=0.04--上影线是下的几倍=0.89--阳线实体=8.86--实体是影线的几倍=2.97--,其他建材,万里石**002785.SZ
--价格中枢看涨做涨--20220508.0价格中枢-实体一半=0.0--上影线是下的几倍=0.8--阳线实体=8.18--实体是影线的几倍=5.06--,专用机械,银宝山新--强势股票**002786.SZ
--价格中枢看涨做涨--20220508.0价格中枢-实体一半=0.02--上影线是下的几倍=0.78--阳线实体=3.36--实体是影线的几倍=3.52--,广告包装,金时科技**002951.SZ
--价格中枢看涨做涨--20220508.0价格中枢-实体一半=0.0--上影线是下的几倍=1.0--阳线实体=2.46--实体是影线的几倍=2.16--,供气供热,长春燃气**600333.SH
--价格中枢看涨做涨--20220508.0价格中枢-实体一半=0.03--上影线是下的几倍=0.68--阳线实体=4.48--实体是影线的几倍=2.75--,农业综合,新农开发**600359.SH
--价格中枢看涨做涨--20220508.0价格中枢-实体一半=0.02--上影线是下的几倍=1.31--阳线实体=5.12--实体是影线的几倍=2.13--,化学制药,联环药业**600513.SH
--价格中枢看涨做涨--20220508.0价格中枢-实体一半=0.04--上影线是下的几倍=1.47--阳线实体=10.48--实体是影线的几倍=4.1--,公共交通,锦江在线**600650.SH
