--价格中枢看涨阴线4--20240428.0上影线最好为0=0.0--实体下影线倍数=14.93--阴线实体=17.44--阳线实体=5.67,汽车服务,中国中期**000996.SZ
--价格中枢看涨阴线4--20240505.0上影线最好为0=0.0--实体下影线倍数=6800.0--阴线实体=5.91--阳线实体=0.92,建筑工程,中国海诚**002116.SZ
--价格中枢看涨阴线4--20240609.0上影线最好为0=0.0--实体下影线倍数=3.55--阴线实体=11.72--阳线实体=0.83,家用电器,深康佳A**000016.SZ
--价格中枢看涨阴线4--20240609.0上影线最好为0=0.0--实体下影线倍数=2.67--阴线实体=8.87--阳线实体=0.33,专用机械,创元科技**000551.SZ
--价格中枢看涨阴线4--20240609.0上影线最好为0=0.0--实体下影线倍数=2.28--阴线实体=6.67--阳线实体=0.89,旅游景点,莱茵体育**000558.SZ
--价格中枢看涨阴线4--20240609.0上影线最好为0=0.0--实体下影线倍数=3.0--阴线实体=11.39--阳线实体=0.86,机械基件,宝塔实业**000595.SZ
--价格中枢看涨阴线4--20240609.0上影线最好为0=0.0--实体下影线倍数=1.94--阴线实体=9.17--阳线实体=2.46,广告包装,华媒控股**000607.SZ
--价格中枢看涨阴线4--20240609.0上影线最好为0=0.0--实体下影线倍数=2.44--阴线实体=5.05--阳线实体=3.0,旅游服务,西安旅游**000610.SZ
--价格中枢看涨阴线4--20240609.0上影线最好为0=0.0--实体下影线倍数=3.68--阴线实体=6.26--阳线实体=4.08,小金属,中钨高新**000657.SZ
--价格中枢看涨阴线4--20240609.0上影线最好为0=0.0--实体下影线倍数=3.09--阴线实体=18.23--阳线实体=3.67,证券,锦龙股份**000712.SZ
--价格中枢看涨阴线4--20240609.0上影线最好为0=0.0--实体下影线倍数=1.87--阴线实体=12.02--阳线实体=0.49,专用机械,冀东装备**000856.SZ
--价格中枢看涨阴线4--20240609.0上影线最好为0=0.0--实体下影线倍数=1.69--阴线实体=10.37--阳线实体=8.77,区域地产,三湘印象**000863.SZ
--价格中枢看涨阴线4--20240609.0上影线最好为0=0.0--实体下影线倍数=1.57--阴线实体=7.18--阳线实体=0.33,旅游景点,桂林旅游**000978.SZ
--价格中枢看涨阴线4--20240609.0上影线最好为0=0.0--实体下影线倍数=6.39--阴线实体=4.14--阳线实体=3.54,IT设备,新大陆**000997.SZ
--价格中枢看涨阴线4--20240609.0上影线最好为0=0.0--实体下影线倍数=3.0--阴线实体=7.37--阳线实体=1.26,矿物制品,中钢天源**002057.SZ
--价格中枢看涨阴线4--20240609.0上影线最好为0=0.0--实体下影线倍数=3.55--阴线实体=11.72--阳线实体=0.83,家用电器,深康佳A**000016.SZ
--价格中枢看涨阴线4--20240609.0上影线最好为0=0.0--实体下影线倍数=2.67--阴线实体=8.87--阳线实体=0.33,专用机械,创元科技**000551.SZ
--价格中枢看涨阴线4--20240609.0上影线最好为0=0.0--实体下影线倍数=2.28--阴线实体=6.67--阳线实体=0.89,旅游景点,莱茵体育**000558.SZ
--价格中枢看涨阴线4--20240609.0上影线最好为0=0.0--实体下影线倍数=3.0--阴线实体=11.39--阳线实体=0.86,机械基件,宝塔实业**000595.SZ
--价格中枢看涨阴线4--20240609.0上影线最好为0=0.0--实体下影线倍数=1.94--阴线实体=9.17--阳线实体=2.46,广告包装,华媒控股**000607.SZ
--价格中枢看涨阴线4--20240609.0上影线最好为0=0.0--实体下影线倍数=2.44--阴线实体=5.05--阳线实体=3.0,旅游服务,西安旅游**000610.SZ
--价格中枢看涨阴线4--20240609.0上影线最好为0=0.0--实体下影线倍数=3.68--阴线实体=6.26--阳线实体=4.08,小金属,中钨高新**000657.SZ
--价格中枢看涨阴线4--20240609.0上影线最好为0=0.0--实体下影线倍数=3.09--阴线实体=18.23--阳线实体=3.67,证券,锦龙股份**000712.SZ
--价格中枢看涨阴线4--20240609.0上影线最好为0=0.0--实体下影线倍数=1.87--阴线实体=12.02--阳线实体=0.49,专用机械,冀东装备**000856.SZ
--价格中枢看涨阴线4--20240609.0上影线最好为0=0.0--实体下影线倍数=1.69--阴线实体=10.37--阳线实体=8.77,区域地产,三湘印象**000863.SZ
--价格中枢看涨阴线4--20240609.0上影线最好为0=0.0--实体下影线倍数=1.57--阴线实体=7.18--阳线实体=0.33,旅游景点,桂林旅游**000978.SZ
--价格中枢看涨阴线4--20240609.0上影线最好为0=0.0--实体下影线倍数=6.39--阴线实体=4.14--阳线实体=3.54,IT设备,新大陆**000997.SZ
--价格中枢看涨阴线4--20240609.0上影线最好为0=0.0--实体下影线倍数=3.0--阴线实体=7.37--阳线实体=1.26,矿物制品,中钢天源**002057.SZ
--价格中枢看涨阴线4--20240609.0上影线最好为0=0.0--实体下影线倍数=3.36--阴线实体=13.7--阳线实体=1.28,机床制造,汇洲智能**002122.SZ
--价格中枢看涨阴线4--20240609.0上影线最好为0=0.0--实体下影线倍数=2.46--阴线实体=12.7--阳线实体=3.24,钢加工,恒星科技**002132.SZ
--价格中枢看涨阴线4--20240609.0上影线最好为0=0.0--实体下影线倍数=2.27--阴线实体=9.97--阳线实体=4.58,其他商业,御银股份**002177.SZ
