="",代码,名称,开盘涨幅,当日涨幅,近10日最高涨幅,近10日涨幅,琅琊飙升榜,琅琊排行榜(当日),琅琊排行榜(次日),首次封板,最后封板,当日价格,攻击波,回头波,次日开盘涨幅,次日涨幅,开板数,封单量,当日换手,最新五星买卖点,最新红黄白买卖点,最新神秘C点买卖点,最新智能亮点,几天几板,所属题材,涨停原因,流通市值,总市值
="",="603332",苏州龙杰,-0.55%,8.98%,19.34%,18.62%,-6,="1",="7",13:28:20,14:31:03,25.60,9.59%,-0.93%,-1.33%,-1.48%,="7",29手,5.15%,买入: 16天,---,---,阶段新高 均线多头排列 强势股, 0天0板,军工 | 长三角一体化 | 标普道琼斯A股,国内少数掌握仿羊毛、仿兔毛等高/超仿真动物皮毛涤纶纤维生产技术的企业之一,30.45亿,30.45亿
="",="603982",泉峰汽车,1.38%,7.98%,18.23%,11.72%,-20,="2",="22",13:39:02,13:39:02,22.74,8.86%,-1.86%,1.14%,-6.55%,="1",2764手,22.89%,卖出: 2天,---,---,CCI买入信号 MTM金叉 北向增仓 社保重仓 机构关注最多 估值较高, 0天0板,沪股通 | 新能源汽车 | 基金重仓 | 社保重仓 | 新能源车零部件,下游车企加速复工复产。公司主营从事汽车关键零部件中的双离合器变速器、液力缓速器等,18.59亿,45.80亿
="",="600006",东风汽车,-0.37%,7.66%,60.74%,60.74%,="1",="3",="2",13:29:28,13:29:28,5.76,8.47%,-2.21%,2.26%,7.29%,="1",5459手,3.47%,买入: 11天,买入: 3天,---,强势股, 0天0板,智能制造 | 无人驾驶 | 新能源汽车 | 融资融券 | 燃料电池 | 华为汽车 | 地摊经济,武汉车企；消息称武汉积极对接小米造车落户武汉；公司为东风集团旗下轻型商用车平台，主营全系列轻型商用车整车和动力总成,115.20亿,115.20亿
="",="605133",嵘泰股份,5.81%,7.58%,13.11%,8.39%,-2,="4",="6",09:30:12,09:30:26,20.00,9.29%,-2.20%,1.95%,-1.35%,="4",4262手,31.57%,买入: 16天,卖出: 27天,---,KDJ金叉 RSI金叉 MTM金叉 估值合理, 0天0板,新能源汽车 | 新能源车零部件,习主席博鳌论坛称，将放宽汽车外资股比限制和降低进口车关税。国内领先的汽车精密压铸件生产企业；公司主要从事铝合金精密压铸件的研产销，主要产品包括汽车转向系统、传动系统、制动系统等铝合金精密压铸件,8.00亿,32.00亿
="",="600397",安源煤业,1.99%,7.31%,23.79%,14.48%,-13,="5",="18",10:04:14,10:04:14,3.23,7.31%,-2.42%,0.00%,-4.64%,="1",1524手,11.14%,买入: 8天,卖出: 30天,---,---, 0天0板,---,1、江西省最大煤炭上市公司，为江煤集团整体上市平台，主要产品有冶炼精煤、洗动力煤、混煤、筛混煤、洗末煤、块煤等；
2、2021年预盈5000万元-6000万元，同比扭亏为盈,31.98亿,31.98亿
="",="002198",嘉应制药,-0.19%,7.24%,13.82%,-1.73%,-20,="6",="26",11:28:09,11:28:09,5.78,7.43%,-2.53%,0.00%,-7.96%,="1",155手,5.00%,卖出: 6天,---,---,---, 0天0板,中药 | 融资融券 | 资产重组,公司主导产品双料喉风散、重感灵片为国家中药保护品种，正筹划控制权变更事项,29.33亿,29.33亿
="",="002782",可立克,0.09%,7.23%,63.17%,61.45%,="2",="7",="5",09:32:30,09:32:30,12.01,7.14%,-2.52%,0.58%,-0.75%,="1",761手,4.18%,买入: 16天,买入: 8天,买入: 6天,均线多头排列 强势股, 0天0板,光伏概念 | 充电桩 | 5G | 新能源汽车 | 新能源车零部件 | 储能,公司主要从事电子变压器和电感等磁性元件以及电源适配器、 动力电池充电器和定制电源等产品的开发和销售,56.68亿,57.27亿
="",="002805",丰元股份,3.75%,6.83%,15.13%,11.98%,-5,="8",="13",13:22:18,13:22:18,33.63,6.76%,-2.89%,0.89%,-3.95%,="1",1669手,12.90%,买入: 16天,---,---,估值较低, 0天0板,锂电池 | 基金重仓 | 宁德时代概念 | 年报预增,蓝晓科技、久吾高科先后中标盐湖提锂订单。1、公司拟不超30亿元投建锂离子电池正极材料项目；
2、一季度净利润预增295%-337%,43.64亿,59.84亿
