="",代码,名称,开盘涨幅,当日涨幅,近10日最高涨幅,近10日涨幅,琅琊飙升榜,琅琊排行榜(当日),琅琊排行榜(次日),首次封板,最后封板,当日价格,攻击波,回头波,次日开盘涨幅,次日涨幅,开板数,封单量,当日换手,最新五星买卖点,最新红黄白买卖点,最新神秘C点买卖点,最新智能亮点,几天几板,所属题材,涨停原因,流通市值,总市值
="",="603895",天永智能,1.51%,10.01%,37.97%,37.66%,-6,="1",="7",11:07:11,14:50:00,30.67,10.28%,0.00%,-0.23%,-1.50%,="23",186手,4.10%,买入: 16天,---,买入: 2天,均线多头排列 MTM金叉 多方炮 估值较高, 0天0板,智能制造 | 工业4.0 | 新能源汽车 | 锂电池 | 特斯拉 | 数字孪生 | 标普道琼斯A股 | 口罩 | 储能,工信部正式开展新一轮新能源汽车下乡活动；龙头十三连板。1、公司参股公司普亚能源主营锂离子电池及电池组、电池管理系统、电池储能系统和相关设备的研发生产等；
2、公司主营智能型自动化生产线和智能型自动化装备，此前中标国轩高科（柳州一期）5GWH方形铝壳锂电池产线模组及PACK线设备采购项目,33.15亿,33.15亿
="",="301183",东田微,-1.13%,9.95%,4.35%,-16.80%,-8,="2",="10",11:08:48,11:08:48,38.03,13.12%,-8.38%,-4.81%,-2.68%,="1",197手,55.55%,---,---,---,机构上榜 游资上榜 多家机构买入 估值较高, 0天0板,次新股 | 汽车电子 | 融资融券 | 消费电子 | 华为概念 | 注册制次新股,云从科技上市后大涨。公司是一家专业从事精密光电薄膜元件研产销的高新技术企业，主要产品为摄像头滤光片和光通信元件等，可广泛地应用于消费类电子产品、车载摄像头等领域
,7.61亿,30.42亿
="",="003043",华亚智能,-0.54%,9.42%,24.50%,19.33%,="1",="3",="2",14:22:03,14:54:03,60.51,11.01%,-0.53%,-2.08%,2.71%,="9",2手,9.14%,买入: 16天,买入: 1天,---,强势股 估值合理, 0天0板,集成电路概念,公司主营精密金属制造，主要为国内外知名半导体设备制造商、品牌商等客户提供各类定制化精密金属结构件,17.31亿,48.41亿
="",="600283",钱江水利,9.98%,7.83%,62.49%,29.06%,-16,="4",="20",09:25:02,14:55:00,21.49,7.83%,-1.96%,-10.00%,-10.00%,="7",143手,19.11%,卖出: 8天,卖出: 8天,---,游资上榜 估值较低, 6天5板,污水处理 | 环保 | 创投 | 参股新三板 | 水利建设 | 节能环保,全国稳住经济大盘电视电话会议召开，一揽子政策5月底前出台细则。公司主要股东在水务行业方面拥有广泛的资源；公司主要从事自来水的生产和供应，同时经营污水处理和市政自来水管道安装业务；拥有城市供水和污水处理规模192万吨/日,75.86亿,75.86亿
="",="600716",凤凰股份,1.68%,7.66%,13.42%,-7.18%,-12,="5",="17",13:00:53,13:13:53,5.76,7.06%,-2.21%,0.00%,-6.42%,="7",7139手,8.30%,卖出: 0天,---,---,高成长 估值较低 五星卖点, 0天0板,养老概念 | 融资融券,1、江苏省优质商业开发商；
2、公司集中力量打造精品养老社区，拥有健康养老地产项目凤凰怡然居，总占地283亩，总建筑面积约17.2万平方米，主要为花园洋房和低层建筑产品，并配有活动中心、康复养老中心,53.92亿,53.92亿
="",="601179",中国西电,0.65%,6.28%,19.81%,14.86%,="3",="6",="3",10:44:11,10:44:11,4.91,6.51%,-3.35%,-2.44%,0.41%,="1",5447手,3.98%,买入: 17天,---,---,估值较低, 0天0板,光伏概念 | 一带一路 | 核电 | 中字头股票 | 水利建设 | 风电 | 特高压 | 智能电网 | 融资融券 | 高端装备 | 储能 | 工业母机,国企改革三年行动打响收官战；国资重组转让将迎新规。中国西电集团旗下，国内最具规模、成套能力最强的高压、超高压、特高压交直流输配电设备的制造企业，公司具备提供1000kV和±1100kV及以下交直流成套装备，±1100kV及以下直流输电工程系统研究与成套设计能力，拥有一批超特高压输变电成套装备核心技术,251.68亿,251.68亿
="",="603667",五洲新春,-1.14%,5.78%,13.32%,10.31%,="2",="7",="5",09:32:34,09:32:34,13.91,7.00%,-3.87%,-0.50%,-1.08%,="1",226手,2.51%,买入: 18天,---,买入: 0天,KDJ金叉 量能巨变 均线多头排列 多方炮 机构关注最多 估值合理, 0天0板,新能源汽车 | 风电 | 特斯拉,工信部：组织新一轮新能源汽车下乡活动。公司生产的轴承套圈定位高端客户，部分产品用于特斯拉等新能源汽车,38.47亿,41.90亿
="",="002702",海欣食品,0.52%,5.77%,15.62%,7.17%,="0",="8",="8",10:07:00,10:07:00,6.05,6.33%,-3.82%,-0.17%,-2.48%,="1",6520手,15.07%,买入: 20天,---,卖出: 26天,MTM金叉, 0天0板,壳资源 | 大消费 | 地摊经济 | 预制菜,公司为国内鱼丸龙头，主营速冻鱼糜，速冻肉制品,23.36亿,29.09亿
="",="002971",和远气体,1.62%,5.54%,27.29%,18.19%,="5",="9",="4",10:24:51,10:26:15,22.85,5.74%,-4.07%,-3.19%,-1.01%,="2",1743手,11.65%,买入: 16天,买入: 2天,---,估值合理, 0天0板,环保 | 基金重仓 | 燃料电池 | 天然气 | 集成电路概念,公司拟在宜昌高新技术产业开发区投资建设电子特气及功能性材料产业园项目，该项目总投资约50亿,24.11亿,36.56亿
="",="002719",麦趣尔,0.59%,5.39%,21.95%,14.51%,="9",="10",="1",13:00:06,13:00:24,8.99,5.02%,-4.16%,-0.44%,10.01%,="3",3手,3.39%,买入: 11天,买入: 1天,---,量能巨变 估值高, 0天0板,摘帽 | 休闲食品 | 资产重组 | 乳业,新疆第四大乳品企业，生产乳制品包括灭菌乳、调制乳、含乳饮料和发酵乳四大系列产品,14.55亿,15.66亿
="",="000952",广济药业,-0.41%,3.96%,15.66%,5.17%,="0",="11",="11",13:01:09,13:01:09,7.61,4.68%,-5.47%,-3.15%,-2.76%,="1",19.15万手,7.19%,买入: 9天,---,---,估值较低, 0天0板,维生素,维生素B2世界龙头，主要产品分为原料系列、制剂系列，核黄素(VB2)，广泛应用于医药原料药、饲料添加剂、食品添加剂等领域,23.32亿,26.84亿
