="",代码,名称,开盘涨幅,当日涨幅,近10日最高涨幅,近10日涨幅,琅琊飙升榜,琅琊排行榜(当日),琅琊排行榜(次日),首次封板,最后封板,当日价格,攻击波,回头波,次日开盘涨幅,次日涨幅,开板数,封单量,当日换手,最新五星买卖点,最新红黄白买卖点,最新神秘C点买卖点,最新智能亮点,几天几板,所属题材,涨停原因,流通市值,总市值
="",="300672",国科微,-1.31%,11.41%,3.03%,-3.39%,-13,="1",="14",13:09:21,13:09:21,75.65,13.66%,-7.16%,0.00%,-1.53%,="1",252手,8.22%,买入: 11天,---,---,MA(20日线支撑) 看涨吞没 北向增仓, 0天0板,北斗导航 | 物联网 | 深股通 | 芯片概念 | 回购概念 | 集成电路概念 | 超高清视频 | 国家大基金持股,台积电、三星晶圆代工筹划涨价。国内SSD主控芯片龙头,130.93亿,137.77亿
="",="603667",五洲新春,-2.24%,10.02%,13.32%,10.31%,-5,="2",="7",14:55:12,15:00:00,13.29,12.63%,0.00%,-2.03%,1.88%,="2",689手,3.43%,买入: 18天,---,买入: 0天,KDJ金叉 量能巨变 均线多头排列 多方炮 机构关注最多 估值合理, 0天0板,新能源汽车 | 风电 | 特斯拉,新一轮汽车下乡政策6月初有望出台。公司生产的轴承套圈定位高端客户，部分产品用于特斯拉等新能源汽车,36.76亿,40.03亿
T,="002531",天顺风能,-2.26%,9.59%,24.53%,24.53%,-2,="3",="5",11:05:45,11:05:45,12.11,12.65%,-0.41%,2.23%,4.79%,="1",8907手,6.52%,买入: 15天,买入: 15天,买入: 0天,强势股 北向增仓, 0天0板,深股通 | 风电 | 融资融券 | 标普道琼斯A股,国家能源局：截至4月底全国风电装机容量约3.4亿千瓦，同比增长17.7%。全球最具规模的风力发电塔架制造商之一，上半年净利润同比增长47.1%,214.23亿,218.28亿
="",="002642",荣联科技,1.12%,9.36%,-3.08%,-7.53%,-19,="4",="23",14:47:12,14:56:48,5.84,9.36%,-0.51%,-4.11%,-6.34%,="7",6479手,16.76%,卖出: 7天,---,---,MTM金叉 估值合理, 2天1板,信息安全 | 车联网 | 智慧城市 | 物联网 | 一带一路 | 智能制造 | 参股新三板 | 5G | 大数据 | 水利建设 | 智能交通 | 人工智能 | 基因测序 | 云计算 | 虚拟现实 | 国产软件 | 区块链 | 股权转让 | 工业互联网 | 独角兽概念 | 乡村振兴 | 边缘计算 | 华为概念 | 数字孪生 | 数字乡村 | 数据中心 | 碳中和 | 智慧政务 | 算力概念 | 东数西算 | 数字经济,刘鹤：支持平台经济、民营经济持续健康发展。公司定位为企业云计算和大数据服务提供商，帮助客户实现核心业务的全面数字化转型；此前中标襄阳市新能源汽车监控项目，还参与建设铁路总公司公务车管理系统、无人驾驶小巴检测运营监管平台等项目,34.14亿,38.97亿
="",="000656",金科股份,-2.12%,8.73%,-3.89%,-27.01%,-19,="5",="24",14:22:03,14:30:30,4.11,12.30%,-1.20%,-4.14%,-9.98%,="2",1.35万手,7.25%,买入: 21天,---,---,机构关注最多 估值合理, 0天0板,深股通 | 风电 | 融资融券 | MSCI概念 | 回购概念 | 标普道琼斯A股 | 物业管理,首套房贷款利率下限调整；杭州放宽二手住房交易政策。公司是全国性社区地产商，住宅开发为主,218.29亿,219.46亿
="",="001212",中旗新材,-0.92%,8.60%,54.64%,45.58%,="4",="6",="2",09:39:03,09:39:03,27.16,10.27%,-1.27%,-3.53%,10.01%,="1",14手,17.26%,卖出: 2天,买入: 9天,买入: 1天,机构上榜 机构净买入 多家机构买入 估值高, 0天0板,次新股 | 新材料概念 | 粤港澳大湾区 | 装配式建筑 | 核准制次新股,国内领先的人造石英石制造商；公司专业从事人造石英石装饰材料的研产销，主要产品是人造石英石板材和人造石英石台面，产品广泛应用于厨房、卫浴、酒店、商场等室内装饰装修领域,6.16亿,24.63亿
="",="000558",莱茵体育,-2.13%,7.80%,1.97%,-3.95%,-15,="7",="22",11:28:21,11:28:21,3.04,11.36%,-1.94%,-3.29%,-4.28%,="1",6344手,7.71%,买入: 10天,---,卖出: 7天,---, 0天0板,足球概念 | 电子竞技 | 创投 | 体育产业 | 资产重组 | 特色小镇 | 露营经济,首套房贷款利率下限调整；杭州放宽二手住房交易政策。1、公司在建的桐庐国际足球小镇，运营的浙江莱茵达女子足球队，皇家马德里足球青训营等，杭州、重庆的城市体育综合体内也有足球场地、教育培训等业务；
2、公司房地产业务全部为存量商铺和写字楼的销售及租赁，主要集中在浙江、江苏、上海，无新增土地储备及新开工建设项目,39.17亿,39.19亿
="",="600408",安泰集团,-1.78%,7.42%,5.80%,-2.49%,-2,="8",="10",10:40:29,10:40:29,3.62,11.04%,-2.43%,-1.38%,-0.28%,="1",3081手,5.31%,卖出: 0天,---,---,估值高 五星卖点, 0天0板,摘帽 | 煤化工,*ST股迎来年报摘帽期。山西省焦化行业龙头企业之一，目前已有120万吨H型钢生产线,36.45亿,36.45亿
="",="600313",农发种业,3.79%,7.10%,40.05%,33.51%,="6",="9",="3",10:33:59,10:33:59,11.31,5.41%,-2.67%,-2.74%,9.99%,="1",4184手,28.27%,卖出: 15天,卖出: 6天,买入: 2天,均线多头排列 估值较高, 0天0板,转基因 | 乡村振兴 | 玉米 | 农业种植,印度政府宣布禁止小麦出口。1、公司是国内优质育繁推一体化种子生产商，核心产品是玉米种子、小麦种子和水稻种子，拥有50万亩耕地、90万亩林地和180万亩草地；
