="",代码,名称,开盘涨幅,当日涨幅,近10日最高涨幅,近10日涨幅,琅琊飙升榜,琅琊排行榜(当日),琅琊排行榜(次日),首次封板,最后封板,当日价格,攻击波,回头波,次日开盘涨幅,次日涨幅,开板数,封单量,当日换手,最新五星买卖点,最新红黄白买卖点,最新神秘C点买卖点,最新智能亮点,几天几板,所属题材,涨停原因,流通市值,总市值
="",="603990",麦迪科技,1.71%,9.96%,30.60%,26.93%,-2,="1",="3",11:28:59,14:58:34,21.20,13.73%,-0.05%,0.94%,5.90%,="4",5264手,11.37%,卖出: 7天,买入: 4天,买入: 3天,均线多头排列 估值合理, 0天0板,互联网医疗 | 民营医院 | 国产软件 | 医疗信息化 | 华为概念 | 辅助生殖,1、公司拟定增募资不超2.39亿元，实控人将变为绵阳市安州区国资委；
2、公司拟收购两家美容医院 打造“辅助生殖+医疗美容”新模式,35.08亿,35.08亿
="",="000058",深 赛 格,0.38%,9.60%,24.53%,6.60%,-26,="2",="28",10:22:03,14:57:09,5.71,10.23%,-0.35%,-3.85%,-6.13%,="2",671手,2.74%,买入: 14天,---,---,估值较低, 0天0板,电商 | 北斗导航 | 光伏概念 | 电子竞技 | 创投 | 参股新三板 | 深圳国企改革 | 华为概念 | 物业管理,深圳市发布关于促进消费持续恢复的若干措施的通知。公司旗下涵盖赛格电子市场和赛格通信市场两大品牌，主要销售电子产品等,30.74亿,70.30亿
="",="600372",中航电子,0.27%,9.28%,9.22%,8.48%,-34,="3",="37",10:22:33,13:33:22,20.60,9.46%,-0.68%,---,---,="15",4729手,3.55%,买入: 16天,---,---,机构关注最多, 0天0板,沪股通 | 航母 | 军工 | 证金 | 大飞机 | 无人机 | 军民融合 | 融资融券 | MSCI概念 | 标普道琼斯A股,"中俄空军举行联合空中战略巡航；国企改革推动行业资产证券化加速。公司主营航空电子产品，为客户提供综合化的航空电子系统整体解决方案,产品谱系覆盖飞行控制系统等",397.21亿,397.21亿
="",="603915",国茂股份,0.84%,8.82%,22.93%,17.15%,-15,="4",="19",14:47:21,14:47:21,23.20,9.64%,-1.07%,-0.43%,-2.20%,="1",29手,6.00%,买入: 11天,买入: 2天,---,CCI买入信号 多方炮 估值较低, 0天0板,沪股通 | 固废处理 | 基金重仓,欧盟计划到2025年将光伏发电能力翻一番。公司是国内减速机行业龙头，与江苏国能、中信博共同签订战略合作协议，拓展光伏领域合作,29.41亿,109.79亿
="",="002013",中航机电,0.10%,8.22%,10.14%,8.33%,-32,="5",="37",10:32:12,10:52:42,11.32,8.43%,-1.65%,---,---,="2",1012手,5.83%,买入: 16天,---,---,---, 0天0板,深股通 | 航母 | 军工 | 大飞机 | 无人机 | 基金重仓 | 融资融券 | MSCI概念 | 高端装备 | 标普道琼斯A股,中俄空军举行联合空中战略巡航；国企改革推动行业资产证券化加速。中国航空工业集团旗下，国产军用飞机航空电子系统设备主要供应商,439.76亿,439.76亿
="",="600546",XD山煤国,0.00%,8.01%,37.78%,23.42%,-3,="6",="9",13:42:33,13:43:09,17.40,9.09%,-1.81%,0.06%,1.21%,="2",1360手,5.58%,卖出: 17天,卖出: 17天,---,机构上榜 游资上榜 机构净买入 多家机构买入 高运营, 0天0板,光伏概念 | 融资融券 | 资产重组,国家发展改革委部署开展煤炭生产成本调查工作。1、2021年净利预增444%-505%；
2、公司是山煤集团唯一上市平台，山西省唯一一家拥有煤炭出口专营权的煤炭企业；
3、公司与钧石（中国）合作投资异质结电池项目，拟共同建设总规模10GW的异质结电池生产线项目，布局光伏电池生产,344.95亿,344.95亿
="",="600689",上海三毛,-1.01%,7.75%,4.97%,-10.66%,-19,="7",="26",14:46:59,14:46:59,9.59,9.47%,-2.04%,-3.02%,-4.59%,="1",982手,19.39%,卖出: 7天,---,卖出: 0天,WR金叉 估值较低, 0天0板,创投 | 独角兽概念,外交部：美国是时候重新考虑并尽早取消加征的关税了。公司主营服装、毛料面料的进出口贸易,14.60亿,19.28亿
