="",代码,名称,开盘涨幅,当日涨幅,近10日最高涨幅,近10日涨幅,琅琊飙升榜,琅琊排行榜(当日),琅琊排行榜(次日),首次封板,最后封板,当日价格,攻击波,回头波,次日开盘涨幅,次日涨幅,开板数,封单量,当日换手,最新五星买卖点,最新红黄白买卖点,最新神秘C点买卖点,最新智能亮点,几天几板,所属题材,涨停原因,流通市值,总市值
="",="600633",浙数文化,-2.29%,9.92%,16.94%,10.81%,-16,="1",="17",13:39:24,14:57:03,7.20,14.10%,-0.14%,-2.78%,-2.22%,="4",84手,6.44%,买入: 10天,---,---,估值合理, 0天0板,智慧城市 | 手机游戏 | 电子竞技 | 体育产业 | 互联网医疗 | 大数据 | 网络游戏 | 人工智能 | 阿里巴巴概念 | 云计算 | 汇金 | 融资融券 | 区块链 | 独角兽概念 | 网络直播 | 杭州亚运会 | 高商誉 | 分拆上市意愿 | 数据中心 | 共同富裕示范区 | NFT,淘宝618将上线元宇宙购物；元宇宙共识大会召开在即。公司已试水推出数字艺术品交易，相关产品已在公司拍卖平台成交并完成交割，成交作品均有对应的合约地址及NFT ID，为公司范围内首批成交的数字艺术品,91.13亿,91.13亿
="",="600622",光大嘉宝,0.00%,9.60%,2.22%,-11.08%,-25,="2",="27",14:49:30,14:49:30,4.11,11.99%,-0.48%,-2.92%,-4.62%,="1",1066手,10.52%,卖出: 12天,卖出: 12天,卖出: 19天,MTM金叉 估值合理, 0天0板,融资融券 | 小金属概念 | 标普道琼斯A股 | 物业管理 | 统一大市场,首套房贷款利率下限调整。Ａ股市场唯一以房地产投资信托基金（REITs）为主营业务的上市公司,61.64亿,61.64亿
="",="600312",平高电气,0.45%,9.24%,17.35%,13.24%,-8,="3",="11",14:46:44,14:46:44,7.33,9.08%,-0.68%,-2.59%,-1.50%,="1",8820手,3.24%,买入: 10天,---,---,估值合理, 0天0板,一带一路 | 充电桩 | 特高压 | 智能电网 | 融资融券 | 标普道琼斯A股,国家能源局要求加快推进一批输变电重点工程规划建设工作，今明两年将核准12条特高压工程。国际领先的电气开关龙头，国内三大高压开关设备研发、制造基地之一,99.46亿,99.46亿
="",="600062",华润双鹤,-2.53%,8.77%,14.40%,-24.79%,-1,="4",="5",11:11:55,14:56:18,31.00,14.81%,-1.12%,0.00%,3.16%,="3",53手,10.64%,卖出: 3天,卖出: 3天,卖出: 3天,估值合理, 0天0板,沪股通 | 汇金 | 融资融券 | MSCI概念 | 青蒿素 | 仿制药一致性评价 | 标普道琼斯A股 | 流感 | 新冠治疗,公司与真实生物签署《战略合作协议》及《阿兹夫定片委托加工生产框架协议》,317.95亿,323.40亿
="",="601595",上海电影,0.33%,8.75%,8.85%,5.10%,-2,="5",="7",13:49:51,14:44:31,9.94,8.63%,-1.09%,0.20%,0.40%,="2",1280手,2.57%,买入: 14天,---,---,---, 0天0板,上海国企改革,公司形成“专业发行+综合院线+高端影院”完整电影发行放映产业链的公司；下属的联和院线是国内成立最早、规模最大的电影院线之一,44.55亿,44.55亿
="",="601126",四方股份,-0.38%,8.72%,22.75%,20.83%,-2,="6",="8",14:39:56,14:39:56,14.22,10.83%,-1.18%,-2.46%,0.07%,="1",1.89万手,6.92%,买入: 19天,卖出: 7天,---,均线多头排列 BIAS金叉 强势股 估值合理, 0天0板,光伏概念 | 军工 | 智能制造 | 特高压 | 智能电网 | 基金重仓 | 融资融券 | 储能,1、公司的产品已成为电力系统继电保护与控制领域的主流产品；
2、储能变流器技术处于行业领先，集中式、链式和模块化三种技术路线并行，覆盖从发电到用电各种储能场景，已在近百个储能项目中实际应用,115.63亿,115.63亿
="",="002654",万润科技,0.29%,8.60%,6.96%,4.46%,-13,="7",="20",13:20:48,14:41:33,3.79,8.60%,-1.30%,-1.58%,-2.90%,="2",214手,4.82%,买入: 13天,---,---,KDJ金叉 BIAS金叉, 0天0板,智慧城市 | 军工 | 参股新三板 | 节能照明 | 大数据 | 智能家居 | 汽车电子 | 独角兽概念 | 回购概念 | 安防 | 华为概念 | 柔性屏 | 抖音 | 年报预增 | ETC | Mini LED | 快手概念,国内中高端LED产品领军企业之一，控股股东拟变更为长江产业集团;,28.97亿,32.41亿
="",="002868",绿康生化,0.00%,8.50%,13.84%,9.23%,-5,="8",="13",09:33:39,09:33:39,12.51,8.50%,-1.34%,-2.48%,-1.68%,="1",868手,4.02%,买入: 12天,卖出: 30天,买入: 1天,KDJ金叉, 0天0板,---,新版兽药GMP验收在即。动物饲料添加剂领域杆菌肽细分龙头，全球少数亚甲基水杨酸杆菌肽通过美国FDA现场审核的企业之一,19.44亿,19.44亿
="",="600166",福田汽车,-1.17%,8.20%,15.63%,12.89%,-19,="9",="28",10:10:53,10:22:50,2.77,9.49%,-1.77%,-3.61%,-5.05%,="2",4.70万手,4.88%,买入: 15天,---,---,小步上扬 强势股, 0天0板,车联网 | 智慧城市 | 军工 | 冬奥会 | 无人驾驶 | 大数据 | 新能源汽车 | 智能交通 | 融资融券 | 燃料电池 | 工业互联网 | 百度概念 | 冷链物流 | 华为概念 | 华为汽车 | 地摊经济,国常会：阶段性减征部分乘用车购置税600亿。公司生产车型涵盖轻型卡车、中型卡车、重型卡车、轻型客车等，新能源整车集成坚持纯电动、混合动力、燃料电池三线并举；上半年净利润同比翻2倍，与中石油合建的首座加氢站投运,182.13亿,182.13亿
="",="600696",岩石股份,-0.84%,8.15%,4.17%,1.05%,-13,="10",="23",11:07:11,13:19:27,28.25,9.50%,-1.67%,-2.37%,-3.47%,="3",387手,2.14%,买入: 12天,---,---,估值较低, 0天0板,壳资源 | 摘帽 | 白酒概念,白酒“新国标”将从6月1日起开始实施，行业准入门槛提高。1、公司拟回购不低于3000万元且不超过4000万元公司股份；
2、酒类业务现为公司核心主业，持有的高酱酒业52%股权，目前高酱酒业主要从事大曲酱香基酒的生产和储存，被授权贴牌生产销售酱香型白酒,94.49亿,94.49亿
="",="601258",庞大集团,2.21%,8.09%,11.11%,2.96%,-18,="11",="29",09:36:27,09:36:27,1.47,6.52%,-2.00%,-2.72%,-5.44%,="1",6592手,3.90%,买入: 14天,买入: 6天,---,BIAS金叉 MA(20日线支撑) 估值高, 0天0板,职业教育 | 京津冀一体化 | 股权转让 | 雄安新区 | MSCI概念 | 汽车销售 | 网约车,国内代理品牌最多的汽车经销商，也是主要的新能源汽车经销服务商,150.34亿,150.34亿
="",="002883",中设股份,-1.30%,7.83%,29.76%,-16.13%,-13,="12",="25",09:33:12,14:50:45,19.14,9.25%,-2.00%,-9.98%,-3.81%,="12",220手,50.69%,卖出: 8天,---,卖出: 2天,机构上榜 机构净买入 多家机构买入 估值较高,12天7板,PPP概念 | 雄安新区 | 资产重组 | 大基建 | 回购概念 | 新型城镇化 | 方舱医院,《关于推进以县城为重要载体的城镇化建设的意见》印发。现代科技型工程咨询企业，业务覆盖交通、市政、建筑、环境等多个领域,18.05亿,24.93亿
="",="002206",海 利 得,0.18%,7.49%,16.39%,5.96%,-3,="13",="16",13:28:42,14:34:21,6.03,8.65%,-2.27%,-2.16%,-3.81%,="2",557手,6.62%,买入: 16天,---,---,北向增仓 估值较低, 0天0板,深股通 | 基金重仓 | 养老金 | 长三角一体化,欧盟计划到2025年将光伏发电能力翻一番。公司新业务涂层材料可用于沙漠光伏铺地反射膜提升光伏能效，目前为国内首家进入该领域，22年有望随着沙漠光伏铺开而迅速放量,57.52亿,73.75亿
="",="000607",华媒控股,-2.48%,7.22%,15.68%,6.18%,-1,="14",="15",13:44:03,13:47:03,4.75,9.95%,-2.46%,-3.16%,-1.89%,="2",2552手,8.20%,买入: 8天,---,---,MA(20日线支撑) 估值高, 0天0板,职业教育 | 三胎概念 | 创投 | 在线教育 | 阿里巴巴概念 | 融资融券 | 区块链 | 知识产权保护 | 杭州亚运会 | 抖音 | 快手概念 | NFT | 托育服务,中办、国办印发《关于推进实施国家文化数字化战略的意见》。杭州日报社旗下，大文创产业生态运营商，公司为杭州文化产权交易所第一大股东,42.03亿,48.34亿
="",="002234",民和股份,0.82%,7.21%,13.62%,10.28%,="3",="15",="12",13:47:36,13:47:36,15.77,7.72%,-2.53%,-1.71%,-1.52%,="1",811手,9.08%,买入: 23天,---,---,---, 0天0板,生态农业 | 基金重仓 | 融资融券 | 养鸡,公司是中国最大的父母代肉种鸡笼养企业,39.91亿,55.03亿
="",="002813",路畅科技,0.25%,7.16%,11.08%,10.84%,-8,="16",="24",13:20:45,13:20:45,25.89,9.01%,-2.60%,-1.00%,-3.63%,="1",701手,5.08%,买入: 16天,买入: 18天,---,强势股, 0天0板,车联网 | 无人驾驶 | 百度概念 | 胎压监测,中联重科预定要约收购公司23.83%股份，要约价格为21.67元/股,30.55亿,31.07亿
="",="603919",金徽酒,1.19%,7.03%,19.62%,11.18%,="15",="17",="2",14:03:23,14:03:53,31.36,6.78%,-2.70%,0.16%,7.14%,="2",297手,2.57%,买入: 22天,买入: 5天,---,北向增仓 估值合理, 0天0板,沪股通 | 融资融券 | 白酒概念,蓝筹股集体反弹，多只行业龙头回踩年线，贵州茅台企稳。公司为甘肃浓香型白酒龙头，复星集团称将和甘肃省、陇南市携手把金徽酒做大做强,159.08亿,159.08亿
="",="600536",中国软件,3.94%,6.56%,6.64%,3.26%,-1,="18",="19",09:31:06,09:38:57,39.98,2.51%,-3.13%,-2.20%,-2.83%,="2",1344手,5.18%,买入: 18天,---,---,MA(20日线支撑) 估值较低, 0天0板,信息安全 | 智慧城市 | 中字头股票 | 云计算 | 国产软件 | 融资融券 | MSCI概念 | 国产操作系统 | 腾讯概念 | 标普道琼斯A股 | 数字经济 | 电子身份证,港股联想脉冲上涨；信创产业加速发展。公司拥有完整的从操作系统等基础软件、中间件、安全产品到应用系统的业务链条，参股的麒麟软件在政务内网份额高,197.73亿,202.97亿
