="",代码,名称,开盘涨幅,当日涨幅,近10日最高涨幅,近10日涨幅,琅琊飙升榜,琅琊排行榜(当日),琅琊排行榜(次日),首次封板,最后封板,当日价格,攻击波,回头波,次日开盘涨幅,次日涨幅,开板数,封单量,当日换手,最新五星买卖点,最新红黄白买卖点,最新神秘C点买卖点,最新智能亮点,几天几板,所属题材,涨停原因,流通市值,总市值
="",="002460",赣锋锂业,0.60%,8.98%,5.54%,-3.19%,-2,="1",="3",13:22:51,13:22:51,117.21,8.58%,-0.93%,-0.28%,0.26%,="1",1420手,5.20%,买入: 16天,---,---,MA(20日线支撑) 北向重仓 估值较低, 0天0板,深股通 | 新能源汽车 | 锂电池 | 新材料概念 | 特斯拉 | 基金重仓 | 融资融券 | 小金属概念 | MSCI概念 | 盐湖提锂 | 钴 | 标普道琼斯A股 | 无线耳机 | 储能,下游车企加速复工复产；碳酸锂价格持稳。1、公司首批固态电池车完成交付
2、公司是全球最大的金属锂生产商，全球第三大及中国最大的锂化合物生产商，是全球锂行业唯一同时拥有“卤水提锂”、“矿石提锂”和“回收提锂”产业化技术的企业,1007.36亿,1684.87亿
="",="600189",泉阳泉,0.00%,8.87%,7.05%,4.33%,-6,="2",="8",13:17:44,13:19:39,6.38,11.15%,-1.09%,-2.19%,-1.88%,="3",195手,3.52%,买入: 12天,---,---,估值合理, 0天0板,电商 | 土地流转 | 饮料 | 碳中和,公司主营长白山天然饮用矿泉水的生产销售；公司碳汇及碳中和业务主要由旗下子公司吉林森工环境科技有限公司来实施,44.65亿,45.63亿
="",="002824",和胜股份,-0.88%,8.73%,42.90%,41.39%,="2",="3",="1",13:26:54,13:26:54,30.75,9.78%,-1.16%,0.72%,10.02%,="1",1485手,6.87%,买入: 15天,买入: 12天,买入: 2天,均线多头排列 多方炮 机构关注最多 估值较低, 0天0板,小米概念 | 新能源汽车 | 宁德时代概念 | 消费电子 | 回购概念 | 华为概念 | 新能源车零部件,蓝晓科技、久吾高科先后中标盐湖提锂订单。公司为锂电池提供电芯外壳和电池包下壳体，近日获得4款新能源汽车动力电池箱体项目的《供应商定点意向书》，提供动力电池箱体，预估交易额36亿至40亿元,40.07亿,56.81亿
="",="002513",蓝丰生化,0.21%,7.84%,11.78%,5.98%,="0",="4",="4",10:06:03,10:09:48,5.09,8.07%,-1.93%,-1.57%,-0.20%,="4",1196手,6.52%,卖出: 2天,卖出: 4天,买入: 0天,RSI金叉 BIAS金叉 MA(20日线支撑), 0天0板,中药 | 生态农业 | 壳资源 | 摘帽,印度政府宣布禁止小麦出口。国内甲基硫菌灵龙头，公司是国内杀菌剂大宗品种多菌灵三大生产基地之一，同时产品还覆盖杀虫剂、除草剂、中间体,16.00亿,19.03亿
="",="600537",亿晶光电,-0.28%,7.73%,9.25%,8.00%,-6,="5",="11",13:31:49,13:33:22,3.90,9.55%,-2.01%,-2.56%,-2.31%,="2",1505手,2.82%,买入: 15天,买入: 10天,---,强势股, 0天0板,光伏概念 | 融资融券 | 有机硅,欧盟可能计划在所有新建筑上安装太阳能电池板。公司的晶棒/硅锭生长、硅片加工、电池制造业务主要是为公司自身的太阳能电池组件生产配套，致力于销售产业链下游的最终产品太阳能电池组件，公司另有光伏发电业务,45.88亿,45.88亿
="",="600733",北汽蓝谷,-0.15%,7.47%,16.32%,16.32%,="0",="6",="6",11:05:56,11:05:56,7.34,7.78%,-2.26%,-1.91%,-0.95%,="1",1.02万手,4.81%,买入: 19天,买入: 20天,买入: 0天,---, 0天0板,无人驾驶 | 新能源汽车 | 融资融券 | 燃料电池 | MSCI概念 | 百度概念 | 新进指数 | 华为概念 | 华为汽车 | 标普道琼斯A股 | 换电概念 | 动力电池回收 | 汽车芯片,华为与公司打造ARCFOX极狐品牌汽车,287.16亿,314.69亿
="",="603998",XD方盛制,6.99%,6.86%,3.73%,-14.63%,-10,="7",="17",09:33:43,14:44:04,8.10,4.38%,-2.88%,-10.00%,-8.89%,="13",1285手,26.13%,卖出: 10天,卖出: 11天,卖出: 11天,---, 2天1板,中药 | 民营医院 | 养老概念 | 眼科 | 回购概念 | 工业大麻 | 仿制药一致性评价 | 肝炎概念,新专利显示千金藤素抑制冠状病毒复制的倍数为15393倍。参股公司拥有试验用千金藤素提取,34.78亿,34.78亿
="",="002270",华明装备,-0.46%,6.13%,26.63%,20.73%,-4,="8",="12",14:29:48,14:29:48,6.93,8.28%,-3.48%,-1.88%,-3.03%,="1",2053手,4.45%,买入: 16天,---,---,估值合理, 0天0板,智能制造 | 机器人概念 | 特高压 | 资产重组 | 高端装备 | 工业母机,龙头六连板。公司具备软、硬件并举的研发能力，拥有数控平面导轨磨床、数控龙门铣镗加工中心、落地铣镗加工中心、激光干涉仪等大型精密加工设备和检测设备仪器，具有年产专用数控机械产品1000台（套）的生产能力,52.61亿,62.11亿
="",="605086",龙高股份,1.75%,6.06%,17.82%,8.52%,="0",="9",="9",09:32:57,09:32:57,18.20,5.32%,-3.60%,-2.42%,-1.92%,="1",786手,6.87%,买入: 14天,---,---,估值较低, 0天0板,稀缺资源,国内日用陶瓷高岭土行业中资源储量、资源品位及采选加工规模领先的企业,9.31亿,23.30亿
="",="600777",新潮能源,2.42%,5.31%,12.68%,2.35%,="5",="10",="5",09:40:32,09:40:32,2.18,3.32%,-4.39%,-0.92%,-0.92%,="1",138手,8.16%,买入: 29天,---,卖出: 0天,估值合理, 0天0板,页岩气 | 融资融券 | 天然气 | 赛马概念 | 油服 | 低价股 | 年报预增 | 标普道琼斯A股 | 俄乌冲突概念,公司主营石油及天然气的勘探开采及销，一季度净利润同比大增108.1%,135.86亿,148.25亿
="",="002248",华东数控,-1.74%,5.22%,5.88%,2.73%,-3,="11",="14",14:35:45,14:35:45,7.26,7.40%,-4.35%,-3.17%,-3.31%,="1",695手,6.49%,卖出: 27天,---,---,MA(20日线支撑) 强势股 估值高, 0天0板,智能制造 | 高端装备 | 工业母机,国资委称针对工业母机等加强技术攻关；龙头华东数控6连板。中国机床行业生产、销售数控龙门导轨磨床数量较多、规模较大的机床制造企业；是国内少数同时具备生产数控机床和数控系统的企业之一,22.32亿,22.32亿
