="",代码,名称,开盘涨幅,当日涨幅,近10日最高涨幅,近10日涨幅,琅琊飙升榜,琅琊排行榜(当日),琅琊排行榜(次日),首次封板,最后封板,当日价格,攻击波,回头波,次日开盘涨幅,次日涨幅,开板数,封单量,当日换手,最新五星买卖点,最新红黄白买卖点,最新神秘C点买卖点,最新智能亮点,几天几板,所属题材,涨停原因,流通市值,总市值
="",="300651",金陵体育,3.31%,13.56%,73.97%,24.90%,-3,="1",="4",13:23:06,13:24:51,36.00,10.77%,-5.36%,0.58%,8.33%,="2",789手,14.67%,卖出: 0天,卖出: 0天,---,量能巨变 机构上榜 游资上榜 机构净买入 多家机构买入 估值较高 五星卖点 五星卖点, 0天0板,体育产业 | 杭州亚运会,公司为多届奥运会、亚运会等国际、国内重大赛事提供专业化服务；主要经营产品包括球类器材、田径器材、场馆设施及赛事服务,27.37亿,46.35亿
="",="600841",动力新科,1.30%,9.59%,5.99%,1.87%,-28,="2",="30",14:13:36,14:53:06,8.46,10.44%,-0.35%,-4.26%,-2.72%,="5",8555手,18.27%,买入: 5天,---,---,估值较低, 0天0板,上海国企改革 | 燃料电池 | 资产重组 | 换电概念,工信部：组织新一轮新能源汽车下乡活动。公司主营柴油发动机及零部件的设计、生产与销售，产品主要为商用车等提供配套动力；公司拟收购的上依红积极布局新一代新能源重卡产品， 已完成 BEV 纯电、FCV 氢燃料电池以及混合动力全系车型的型谱规划,27.74亿,138.03亿
="",="603076",乐惠国际,2.26%,9.54%,13.74%,7.75%,-21,="3",="24",10:49:19,14:15:05,34.46,8.06%,-0.43%,-3.51%,-1.65%,="6",18手,4.54%,买入: 16天,买入: 20天,买入: 3天,估值较低, 0天0板,新零售 | 啤酒概念,多地出台促消费政策；白酒“新国标”将实施。公司为国内啤酒设备龙头，旗下精酿谷与盒马鲜生就鲜精酿啤酒业务达成合作协议,41.59亿,41.59亿
="",="002960",青鸟消防,0.00%,8.67%,30.05%,27.93%,-5,="4",="9",13:45:06,13:45:06,29.70,10.00%,-1.20%,-0.03%,2.09%,="1",23手,2.33%,买入: 6天,---,---,强势股 估值较高, 0天0板,深股通 | 冬奥会 | 芯片概念 | 基金重仓 | 白马股,公司为国内消防报警解决方案龙头，参与的代表性项目过百项，包括奥运场馆、大型国际机场项目等，目前开始积极布局军工业消防及家用消防领域，以及电动自行车、电动汽车火灾管理,75.09亿,145.14亿
="",="603970",中农立华,0.87%,8.49%,16.00%,15.45%,-11,="5",="16",09:37:43,09:37:43,29.78,7.94%,-1.39%,0.24%,-0.60%,="1",37手,7.34%,买入: 17天,---,---,阶段新高 均线多头排列 估值高, 0天0板,一带一路 | 无人机 | 乡村振兴,承继中农集团农药流通平台资源，我国农药流通的主要渠道之一；植保杋械业务中包含植保无人机，可携带5到20公斤农药,28.45亿,57.18亿
="",="603730",DR岱美股,1.41%,8.47%,16.11%,12.79%,-19,="6",="25",09:31:54,09:31:54,14.60,7.51%,-1.42%,-2.53%,-1.99%,="1",4395手,1.14%,买入: 16天,---,---,北向增仓 高管增持, 0天0板,沪股通 | 特斯拉 | 基金重仓 | 蔚来汽车概念 | 标普道琼斯A股,工信部：组织新一轮新能源汽车下乡活动。1、公司生产的汽车零部件包括遮阳板、座椅头枕和扶手、顶棚中央控制器和内饰灯等；
2、公告成为国外知名新能源整车厂商顶棚系统集成供应商,105.76亿,105.76亿
="",="605068",明新旭腾,1.90%,8.25%,26.79%,18.72%,-10,="7",="17",13:08:11,13:25:59,23.88,8.59%,-1.61%,-2.60%,-0.84%,="8",2手,20.55%,买入: 83天,---,---,估值高, 2天1板,工业4.0 | 新材料概念,工信部：组织新一轮新能源汽车下乡活动。公司公司主要从事汽车内饰皮革的研产销，已进入美国Chrysler、法国PSA长城、长安、比亚迪等国内外主流整车制造企业供应商体系,13.49亿,39.78亿
="",="002612",朗姿股份,0.52%,8.22%,6.30%,2.16%,-5,="8",="13",10:52:42,10:52:42,27.26,8.17%,-1.62%,-1.65%,0.73%,="1",416手,10.66%,买入: 21天,卖出: 25天,买入: 3天,估值较低, 0天0板,电商 | 三胎概念 | 深股通 | 中韩自贸区 | 新零售 | 化妆品 | 网红经济 | 口罩 | 医美 | 毛发医疗,1、公司旗下主要运营“米兰柏羽”、“晶肤医美”和“高一生”三大国内医美品牌，在成都、西安两大西部核心城市初步形成了“1+N”的产业布局，已拥有18家医美医院/门诊部；
2、公司与韩国业务往来密切，大股东具备朝鲜族背景,68.68亿,120.61亿
