xxxx,--价格中枢看涨阴线4--20220424.0上影线最好为0=0.0--实体下影线倍数=3.55--阴线实体=10.22--阳线实体=5.76,其他商业,海印股份**000861.SZ
xxxx,--价格中枢看涨阴线4--20220424.0上影线最好为0=0.0--实体下影线倍数=2.57--阴线实体=9.57--阳线实体=4.47,水泥,四川双马**000935.SZ
xxxx,--价格中枢看涨阴线4--20220424.0上影线最好为0=0.0--实体下影线倍数=1.94--阴线实体=8.14--阳线实体=6.87,房产服务,招商积余**001914.SZ
xxxx,--价格中枢看涨阴线4--20220424.0上影线最好为0=0.0--实体下影线倍数=3.86--阴线实体=8.61--阳线实体=1.94,化学制药,海翔药业**002099.SZ
xxxx,--价格中枢看涨阴线4--20220424.0上影线最好为0=0.0--实体下影线倍数=2.67--阴线实体=9.46--阳线实体=2.34,服饰,星期六**002291.SZ
xxxx,--价格中枢看涨阴线4--20220424.0上影线最好为0=0.0--实体下影线倍数=47.85--阴线实体=26.38--阳线实体=4.67,中成药,精华制药**002349.SZ
xxxx,--价格中枢看涨阴线4--20220424.0上影线最好为0=0.0--实体下影线倍数=2.09--阴线实体=15.83--阳线实体=11.77,钢加工,金洲管道**002443.SZ
xxxx,--价格中枢看涨阴线4--20220424.0上影线最好为0=0.0--实体下影线倍数=4.12--阴线实体=13.2--阳线实体=4.43,其他建材,龙泉股份**002671.SZ
xxxx,--价格中枢看涨阴线4--20220424.0上影线最好为0=0.0--实体下影线倍数=9.3--阴线实体=9.27--阳线实体=11.07,工程机械,华东重机**002685.SZ
xxxx,--价格中枢看涨阴线4--20220417.0上影线最好为0=0.0--实体下影线倍数=7.08--阴线实体=24.6--阳线实体=5.26,供气供热,南京公用**000421.SZ
xxxx,--价格中枢看涨阴线4--20220417.0上影线最好为0=0.0--实体下影线倍数=7.96--阴线实体=4.55--阳线实体=7.44,环境保护,启迪环境**000826.SZ
xxxx,--价格中枢看涨阴线4--20220417.0上影线最好为0=0.0--实体下影线倍数=2.63--阴线实体=10.1--阳线实体=8.85,新型电力,银星能源**000862.SZ
xxxx,--价格中枢看涨阴线4--20220417.0上影线最好为0=0.0--实体下影线倍数=5.65--阴线实体=4.43--阳线实体=14.86,服饰,报喜鸟**002154.SZ
